indi_pt,count
Withdrawal syndrome,1675
Keratitis,1674
Eye infection,1670
Viral upper respiratory tract infection,1668
Inhalation therapy,1666
Peripheral sensory neuropathy,1664
Toxic epidermal necrolysis,1661
Meningitis cryptococcal,1658
Chronic cutaneous lupus erythematosus,1658
Cystinosis,1657
Portopulmonary hypertension,1652
Blood pressure decreased,1640
Post laminectomy syndrome,1639
Infarction,1638
Rash maculo-papular,1633
Transgender hormonal therapy,1626
Friedreich's ataxia,1622
Bladder spasm,1619
Cryoglobulinaemia,1618
Cerebrovascular disorder,1616
Hypotonia,1616
Bone loss,1615
Drug reaction with eosinophilia and systemic symptoms,1610
Hypothalamo-pituitary disorder,1604
Mobility decreased,1603
Scoliosis,1602
Conjunctivitis allergic,1599
Joint stiffness,1596
Congenital hypogammaglobulinaemia,1593
Eye inflammation,1592
Limb injury,1591
Ejection fraction decreased,1588
Drug toxicity prophylaxis,1588
Mycobacterium chelonae infection,1587
Abdominal infection,1583
Nicotine dependence,1580
Enterobacter infection,1577
Dental care,1575
Spinal stenosis,1574
Lumbar radiculopathy,1569
Premature labour,1569
Hypoalbuminaemia,1569
Prophylaxis against solar radiation,1567
Left ventricular dysfunction,1567
Drug provocation test,1559
Heart rate,1558
Low density lipoprotein,1556
Glycosylated haemoglobin,1548
Cystinuria,1548
Growth retardation,1545
Tinea pedis,1545
Assisted fertilisation,1543
Prophylaxis urinary tract infection,1542
Influenza immunisation,1540
Mouth ulceration,1540
